Question ID,Question Text,All,44+,55+,Africa,Asia,Caribbean,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,Middle Africa,North America,Norther Europe,Northern Africa,Northern America,O1: Arabic,O1: Chinese (China),O1: English,O1: French,O1: Hindi,O1: Portuguese (Brazil),O1: Russian,O1: Spanish,O2: &lt;18,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O2: 65+,O3: Female,O3: Male,O3: Non-binary,O3: Other / prefer not to say,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,O6: Sikhism,O7: Afghanistan,O7: Albania,O7: Algeria,O7: Andorra,O7: Angola,O7: Antigua & Deps,O7: Argentina,O7: Armenia,O7: Australia,O7: Austria,O7: Azerbaijan,O7: Bahamas,O7: Bahrain,O7: Bangladesh,O7: Barbados,O7: Belarus,O7: Belgium,O7: Belize,O7: Benin,O7: Bhutan,O7: Bolivia,O7: Bosnia Herzegovina,O7: Botswana,O7: Brazil,O7: Brunei,O7: Bulgaria,O7: Burkina,O7: Burundi,O7: Cambodia,O7: Cameroon,O7: Canada,O7: Cape Verde,O7: Central African Rep,O7: Chad,O7: Chile,O7: China,O7: Colombia,O7: Comoros,O7: Congo,O7: Congo {Democratic Rep},O7: Costa Rica,O7: Croatia,O7: Cuba,O7: Cyprus,O7: Czech Republic,O7: Denmark,O7: Djibouti,O7: Dominica,O7: Dominican Republic,O7: East Timor,O7: Ecuador,O7: Egypt,O7: El Salvador,O7: Equatorial Guinea,O7: Eritrea,O7: Estonia,O7: Ethiopia,O7: Fiji,O7: Finland,O7: France,O7: Gabon,O7: Gambia,O7: Georgia,O7: Germany,O7: Ghana,O7: Greece,O7: Grenada,O7: Guatemala,O7: Guinea,O7: Guinea-Bissau,O7: Guyana,O7: Haiti,O7: Honduras,O7: Hungary,O7: Iceland,O7: India,O7: Indonesia,O7: Iran,O7: Iraq,O7: Ireland {Republic},O7: Israel,O7: Italy,O7: Ivory Coast,O7: Jamaica,O7: Japan,O7: Jordan,O7: Kazakhstan,O7: Kenya,O7: Kiribati,O7: Korea North,O7: Korea South,O7: Kosovo,O7: Kuwait,O7: Kyrgyzstan,O7: Laos,O7: Latvia,O7: Lebanon,O7: Lesotho,O7: Liberia,O7: Libya,O7: Liechtenstein,O7: Lithuania,O7: Luxembourg,O7: Macedonia,O7: Madagascar,O7: Malawi,O7: Malaysia,O7: Maldives,O7: Mali,O7: Malta,O7: Marshall Islands,O7: Mauritania,O7: Mauritius,O7: Mexico,O7: Micronesia,O7: Moldova,O7: Monaco,O7: Mongolia,O7: Montenegro,O7: Morocco,O7: Mozambique,"O7: Myanmar, {Burma}",O7: Namibia,O7: Nauru,O7: Nepal,O7: Netherlands,O7: New Zealand,O7: Nicaragua,O7: Niger,O7: Nigeria,O7: Norway,O7: Oman,O7: Pakistan,O7: Palau,O7: Palestine,O7: Panama,O7: Papua New Guinea,O7: Paraguay,O7: Peru,O7: Philippines,O7: Poland,O7: Portugal,O7: Qatar,O7: Romania,O7: Russian Federation,O7: Rwanda,O7: Saint Vincent & the Grenadines,O7: Samoa,O7: San Marino,O7: Sao Tome & Principe,O7: Saudi Arabia,O7: Senegal,O7: Serbia,O7: Seychelles,O7: Sierra Leone,O7: Singapore,O7: Slovakia,O7: Slovenia,O7: Solomon Islands,O7: Somalia,O7: South Africa,O7: South Sudan,O7: Spain,O7: Sri Lanka,O7: St Kitts & Nevis,O7: St Lucia,O7: Sudan,O7: Suriname,O7: Swaziland,O7: Sweden,O7: Switzerland,O7: Syria,O7: Taiwan,O7: Tajikistan,O7: Tanzania,O7: Thailand,O7: Togo,O7: Tonga,O7: Trinidad & Tobago,O7: Tunisia,O7: Turkmenistan,O7: Tuvalu,O7: Türkiye,O7: Uganda,O7: Ukraine,O7: United Arab Emirates,O7: United Kingdom,O7: United States,O7: Uruguay,O7: Uzbekistan,O7: Vanuatu,O7: Vatican City,O7: Venezuela,O7: Vietnam,O7: Yemen,O7: Zambia,O7: Zimbabwe,Oceania,South America,South Eastern Asia,Souther Asia,Southern Africa,Southern Europe,Western Africa,Western Asia,Western Europe
372776dc-1679-45e9-a243-2dd1db087584,Please select your preferred language:,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
06756ea0-1533-4788-aeab-23d1800c93ff,How old are you?,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
87285795-4447-476a-ac10-21ffc0157874,What is your gender?,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
fdda5da2-f164-4708-b5dc-58aac4ffe4a9,What best describes where you live?,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
28cfe238-1c8f-476f-8c57-48b8ca1071a7,"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…",566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
6c691942-927a-42f4-9711-7239b05f2393,What religious group or faith do you most identify with?,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
04879162-d29a-4b45-b1cf-71468825b7ef,What country or region do you most identify with?,566,81,29,135,180,0,16,8,107,23,18,98,0,81,31,19,65,10,24,416,12,5,30,13,56,0,159,221,105,52,25,4,251,311,2,2,49,147,370,294,64,208,8,236,66,158,75,13,10,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,90,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,9,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,66,17,101,9,21,0,31,28
0b473fbf-be43-4c32-a805-1275d54ac9ef,"Thinking about the last three months, how often, if at all, have you noticed AI systems in your daily life?",563,81,29,134,179,0,16,8,107,23,18,98,0,81,31,19,65,10,24,414,12,5,29,13,56,0,157,220,105,52,25,4,249,310,2,2,49,146,368,294,63,206,8,235,65,158,75,13,9,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,89,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,65,17,100,8,21,0,31,28
f24f304d-b314-401a-a259-ce0596ad77d4,"Thinking about the last three months, how often, if at all, have you noticed human interactions which have been replaced with automated systems?",563,81,29,134,179,0,16,8,107,23,18,98,0,81,31,19,65,10,24,414,12,5,29,13,56,0,157,220,105,52,25,4,249,310,2,2,49,146,368,294,63,206,8,235,65,158,75,13,9,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,89,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,65,17,100,8,21,0,31,28
f66d16d1-630b-4aba-8c2d-a96961fcb03e,"Thinking about the last three months, how often, if at all, have you been expected to use an AI system at work?",563,81,29,134,179,0,16,8,107,23,18,98,0,81,31,19,65,10,24,414,12,5,29,13,56,0,157,220,105,52,25,4,249,310,2,2,49,146,368,294,63,206,8,235,65,158,75,13,9,0,0,1,3,0,0,0,2,1,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,12,0,0,0,36,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,9,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,89,9,0,0,2,17,9,0,0,4,0,8,105,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,1,0,7,0,0,0,0,0,0,2,7,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,8,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,24,53,0,0,0,0,0,3,0,0,0,6,65,17,100,8,21,0,31,28
